generating LQTLD for map...
Exiting
         1316182 function calls (1305194 primitive calls) in 1014.270 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _GetMapActionResult.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GetMapFeedback.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GetMapFeedback.py:9(GetMapFeedback)
        1    0.000    0.000    0.000    0.000 _GetMapGoal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GetMapGoal.py:9(GetMapGoal)
        1    0.000    0.000    0.000    0.000 _GetMapResult.py:13(GetMapResult)
        1    0.000    0.000    0.000    0.000 _GetMapResult.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GetPlan.py:11(GetPlanRequest)
        1    0.000    0.000    0.000    0.000 _GetPlan.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GetPlan.py:290(GetPlanResponse)
        1    0.000    0.000    0.000    0.000 _GetPlan.py:611(GetPlan)
        1    0.000    0.000    0.000    0.000 _GoalID.py:10(GoalID)
        1    0.000    0.000    0.000    0.000 _GoalID.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GoalStatus.py:11(GoalStatus)
        1    0.000    0.000    0.000    0.000 _GoalStatus.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GoalStatusArray.py:12(GoalStatusArray)
        1    0.000    0.000    0.000    0.000 _GoalStatusArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _GridCells.py:11(GridCells)
        1    0.000    0.000    0.000    0.000 _GridCells.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Header.py:10(Header)
        1    0.000    0.000    0.000    0.000 _Header.py:2(<module>)
        6    0.000    0.000    0.000    0.000 _Header.py:33(__init__)
        1    0.000    0.000    0.000    0.000 _Illuminance.py:10(Illuminance)
        1    0.000    0.000    0.000    0.000 _Illuminance.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Image.py:10(Image)
        1    0.000    0.000    0.000    0.000 _Image.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Imu.py:11(Imu)
        1    0.000    0.000    0.000    0.000 _Imu.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Inertia.py:10(Inertia)
        1    0.000    0.000    0.000    0.000 _Inertia.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _InertiaStamped.py:11(InertiaStamped)
        1    0.000    0.000    0.000    0.000 _InertiaStamped.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int16.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int16.py:9(Int16)
        1    0.000    0.000    0.000    0.000 _Int16MultiArray.py:10(Int16MultiArray)
        1    0.000    0.000    0.000    0.000 _Int16MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int32.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int32.py:9(Int32)
        1    0.000    0.000    0.000    0.000 _Int32MultiArray.py:10(Int32MultiArray)
        1    0.000    0.000    0.000    0.000 _Int32MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int64.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int64.py:9(Int64)
        1    0.000    0.000    0.000    0.000 _Int64MultiArray.py:10(Int64MultiArray)
        1    0.000    0.000    0.000    0.000 _Int64MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int8.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Int8.py:9(Int8)
        1    0.000    0.000    0.000    0.000 _Int8MultiArray.py:10(Int8MultiArray)
        1    0.000    0.000    0.000    0.000 _Int8MultiArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _JointState.py:10(JointState)
        1    0.000    0.000    0.000    0.000 _JointState.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Joy.py:10(Joy)
        1    0.000    0.000    0.000    0.000 _Joy.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _JoyFeedback.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _JoyFeedback.py:9(JoyFeedback)
        1    0.000    0.000    0.000    0.000 _JoyFeedbackArray.py:10(JoyFeedbackArray)
        1    0.000    0.000    0.000    0.000 _JoyFeedbackArray.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LaserEcho.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LaserEcho.py:9(LaserEcho)
        1    0.000    0.000    0.000    0.000 _LaserScan.py:10(LaserScan)
        1    0.000    0.000    0.000    0.000 _LaserScan.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Log.py:10(Log)
        1    0.000    0.000    0.000    0.000 _Log.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Logger.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Logger.py:9(Logger)
        1    0.000    0.000    0.000    0.000 _LookupTransformAction.py:14(LookupTransformAction)
        1    0.000    0.000    0.000    0.000 _LookupTransformAction.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LookupTransformActionFeedback.py:13(LookupTransformActionFeedback)
        1    0.000    0.000    0.000    0.000 _LookupTransformActionFeedback.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LookupTransformActionGoal.py:13(LookupTransformActionGoal)
        1    0.000    0.000    0.000    0.000 _LookupTransformActionGoal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LookupTransformActionResult.py:14(LookupTransformActionResult)
        1    0.000    0.000    0.000    0.000 _LookupTransformActionResult.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LookupTransformFeedback.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LookupTransformFeedback.py:9(LookupTransformFeedback)
        1    0.000    0.000    0.000    0.000 _LookupTransformGoal.py:10(LookupTransformGoal)
        1    0.000    0.000    0.000    0.000 _LookupTransformGoal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _LookupTransformResult.py:12(LookupTransformResult)
        1    0.000    0.000    0.000    0.000 _LookupTransformResult.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _MagneticField.py:11(MagneticField)
        1    0.000    0.000    0.000    0.000 _MagneticField.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _MapMetaData.py:11(MapMetaData)
        1    0.000    0.000    0.000    0.000 _MapMetaData.py:2(<module>)
        6    0.000    0.000    0.000    0.000 _MapMetaData.py:53(__init__)
        1    0.000    0.000    0.000    0.000 _MultiArrayDimension.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _MultiArrayDimension.py:9(MultiArrayDimension)
        1    0.000    0.000    0.000    0.000 _MultiArrayLayout.py:10(MultiArrayLayout)
        1    0.000    0.000    0.000    0.000 _MultiArrayLayout.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _MultiDOFJointState.py:11(MultiDOFJointState)
        1    0.000    0.000    0.000    0.000 _MultiDOFJointState.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _MultiEchoLaserScan.py:11(MultiEchoLaserScan)
        1    0.000    0.000    0.000    0.000 _MultiEchoLaserScan.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _NavSatFix.py:11(NavSatFix)
        1    0.000    0.000    0.000    0.000 _NavSatFix.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _NavSatStatus.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _NavSatStatus.py:9(NavSatStatus)
        1    0.000    0.000    0.000    0.000 _OccupancyGrid.py:13(OccupancyGrid)
        1    0.000    0.000    0.000    0.000 _OccupancyGrid.py:2(<module>)
        6    0.000    0.000    0.000    0.000 _OccupancyGrid.py:87(__init__)
        1    0.000    0.000    0.000    0.000 _Odometry.py:11(Odometry)
        1    0.000    0.000    0.000    0.000 _Odometry.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Path.py:11(Path)
        1    0.000    0.000    0.000    0.000 _Path.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Point.py:2(<module>)
        6    0.000    0.000    0.000    0.000 _Point.py:21(__init__)
        1    0.000    0.000    0.000    0.000 _Point.py:9(Point)
        1    0.000    0.000    0.000    0.000 _Point32.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _Point32.py:9(Point32)
